text,font_size,len_chars,is_upper,page_num,font_count,is_bold,x0,x1,y0,y1,label
AakritiUpadhyay,24.78710000000001,15,0,1,1,1,198.227,402.72057499999994,794.7106314,819.4977314,title
+91-8604675149|aakritiupadhyay64@gmail.com,9.962599999999952,42,0,1,1,0,191.86,409.0845304000001,784.7015468,794.6641467999999,body
(cid:239)aakriti2608|§aakriti-2608|ˆaakritiupadhyay1|,10.085974624488845,53,0,1,2,0,138.634,388.71872240000005,771.6905468,784.961322463892,body
"Pratapgarh,UttarPradesh-230001,INDIA",9.962599999999952,36,0,1,1,0,205.82299999999998,395.12236260000003,760.4915468,770.4541468,body
Aakriti_2608,9.962599999999952,12,0,1,1,0,406.152,462.3111762,771.6905468,781.6531468,body
OBJECTIVE,9.829777777777723,9,1,1,1,1,39.98399999999998,100.91411469999998,737.5339168,749.4891168,H3
TosecureachallengingSoftwareDeveloperpositionatTuringwhereIcancontributetobuildingscalableand,9.962599999999952,93,0,1,1,0,39.685,522.1039798000003,719.4505468,729.4131467999999,body
"high-impactsoftwaresolutions.Iaimtoleveragemystrongfoundationinalgorithms,backenddevelopment,and",9.962599999999952,96,0,1,1,0,39.685,540.5547150000001,707.4955467999999,717.4581467999999,body
"problem-solvingtodeliverclean,efficientcode,whilegrowingasaglobaldeveloperbycollaboratingoncutting-edge",9.962599999999952,103,0,1,1,0,39.685,556.9232668000003,695.5395467999999,705.5021467999999,body
projectswithtop-tierengineeringteams.,9.962599999999952,37,0,1,1,0,39.685,217.96572700000002,683.5845467999999,693.5471467999998,body
EDUCATION,9.829777777777723,9,1,1,1,1,39.984,106.94431750000001,663.0829167999999,675.0381167999999,H3
•PranveerSinghInstituteofTechnology,9.848742857142812,35,0,1,2,1,39.685,224.5599514000001,642.5809484,652.5435484,H3
BachelorofTechnologyinComputerScienceandEngineering,8.966400000000021,51,0,1,1,0,46.339,268.9388464000001,630.9357696,639.9021696,body
◦SGPA:7.72/10.00,9.713537499999958,16,1,1,2,0,46.337999999999965,132.03526839999995,619.2835467999998,629.2461467999998,body
•GovernmentPolytechnicPremdharPatti,9.848742857142812,35,0,1,2,1,39.68499999999996,230.34822200000008,603.1929483999999,613.1555483999998,H3
DiplomainComputerScienceandEngineering(Polytechnic),8.966400000000021,51,0,1,1,0,46.339,272.67783520000006,591.5477695999998,600.5141695999998,body
◦Percentage:78.46%,9.741211111111069,18,0,1,2,0,46.337999999999965,139.9256476,580.1995467999998,590.1621467999997,body
•SangamInternationalSchool,9.809330769230725,26,0,1,2,1,39.68499999999996,178.61244020000004,564.1099483999998,574.0725483999997,H3
HighSchool,8.966400000000021,10,0,1,1,0,46.339,88.34658400000001,552.4647695999997,561.4311695999997,body
◦Percentage:82.6%,9.728188235294075,17,0,1,2,0,46.337999999999965,132.45369759999997,541.1165467999997,551.0791467999996,body
PROJECTS,9.862987499999946,8,1,1,1,1,39.983999999999966,94.99875659999996,521.0569167999997,533.0121167999997,H3
•CollegeManagementSystem,9.796558333333342,24,0,1,2,1,39.685,179.17034580000006,500.5539484,510.51654840000003,H3
2026,8.966400000000021,4,0,1,1,0,539.547,557.4798000000001,642.8907696,651.8571696,body
"Kanpur,India",8.966400000000021,12,0,1,1,0,502.301,557.4802256,630.7474751999999,639.7138752,body
2023,8.966400000000021,4,0,1,1,0,539.547,557.4798000000001,603.5027695999999,612.4691695999999,body
"Pratapgarh,India",8.966400000000021,16,0,1,1,0,487.883,557.4801968,591.3594751999998,600.3258751999998,body
2020,8.966400000000021,4,0,1,1,0,539.547,557.4798000000001,564.4197695999998,573.3861695999998,body
"Pratapgarh,India",8.966400000000021,16,0,1,1,0,487.883,557.4801968,552.2764751999997,561.2428751999997,body
"Tools:HTML,CSS,JavaScript,Python,django,Bootstrap,MySQL",8.966400000000021,55,0,1,1,0,46.339,284.8811056000001,488.9087696,497.87516960000005,body
"◦DevelopedacomprehensiveCollegeManagementSystemtomanagestudentrecords,attendance,facultydata,and",9.921089583333368,96,0,1,2,0,46.338,560.3573302,477.2565468,487.21914680000003,body
"feetracking,enhancingadministrativeefficiencyandreducingmanualworkload.",9.962600000000023,71,0,1,1,0,52.992000000000004,411.36664720000016,465.30154680000004,475.26414680000005,body
•SpeechRecognitionSystem,9.796558333333342,24,0,1,2,1,39.685,172.51532900000007,449.21194840000004,459.17454840000005,H3
"Tools:Python,CNN,Librosa,Sklearn,NumPy,Matplotlib",8.966400000000021,49,0,1,1,0,46.339,259.4165296000001,437.5657696,446.53216960000003,body
◦DevelopedadeeplearningmodelusingCNNtorecognizehumanemotionsfromvoiceinputs.,9.910165789473709,76,0,1,2,0,46.338,470.94299520000015,425.9135468,435.8761468,body
"◦TrainedandevaluatedthemodelontheRAVDESSdatasettoclassifyemotionslikehappy,sad,angry,etc.",9.917824719101155,89,0,1,2,0,46.33800000000001,517.4284868000001,411.1875468,421.1501468,body
•SportsGearRecommenderSystem,9.82027857142858,28,0,1,2,1,39.685,204.34483600000004,395.0979484,405.0605484,H3
"Tools:Python,Sklearn,Pandas,NumPy,Flask,HTML/CSS,JavaScript,SQLite,TensorFlow",8.966400000000021,77,0,1,1,0,46.338,383.12495039999993,383.4517696,392.4181696,body
◦Developedareal-timesportsgearrecommendationsystemusingadvancedmachinelearningalgorithms.Enabled,9.921089583333368,96,0,1,2,0,46.338,555.7745342000002,371.7995468,381.7621468,body
"personalizedgearsuggestionsbasedonuserprofile,performancedata,andactivitytype.",9.962600000000027,78,0,1,1,0,52.992000000000004,445.1498238,359.8445468,369.8071468,body
SKILLS,9.962616666666662,6,1,1,1,1,39.98400000000001,78.9406327,339.78491679999996,351.74011679999995,H3
"•ProgrammingLanguages:C,C++,Python,Java,PHP,HTML,CSS,JavaScript,SQL",9.903122388059721,67,0,1,3,1,39.685,413.67155479999997,321.7015468,331.82354840000005,H3
"•Frameworks:Scikit,TensorFlow,Keras,Django,React,Node.JS,Express.JS,Bootstrap,Tailwind,MongoDB",9.920206382978757,94,0,1,3,1,39.685,517.9898520000002,307.97954680000004,318.10154840000007,H3
"•Technologies:Git,Linux/Unix,Docker,AWS,DistributedStorageSystems,AgileDevelopment",9.914002439024419,82,0,1,3,1,39.685,469.02412720000007,294.2565468000001,304.3785484000001,H3
"•Concepts:Object-OrientedDesign,Optimization,Security,FaultTolerance,DistributedSystems,Information",9.922347474747509,99,0,1,3,1,39.685,527.4442790000002,280.5345468000001,290.65654840000013,H3
"Retrieval,TCP/IP,Scalability,Object-orientedprogramming(OOP)",9.962600000000016,60,0,1,1,0,48.958000000000006,344.55830460000016,268.5795468000001,278.5421468000001,body
"•Tools:GitHub,MySql,VSCode,AndroidStudio,Networking",9.884462745098052,51,0,1,3,1,39.685,320.63124320000003,254.85754680000014,264.97954840000017,H3
"•TechnicalCompetencies:ProblemSolving,CriticalThinking,PresentationDrafting,DataManagement,Structural",9.923144554455481,101,0,1,3,1,39.684999999999995,551.1955869999999,241.13554680000013,251.25754840000013,H3
"Analysis,SoftwareTesting,DataStructure,Algorithm,SystemDesign,AgileSoftwareDevelopment",9.962600000000032,86,0,1,1,0,48.95800000000001,488.62746319999997,229.17954680000014,239.14214680000015,body
"•PersonalCompetencies:Fastlearner,Adaptive,Teamcollaboration,EmotionalIntelligence,StressTolerance,",9.922347474747509,99,0,1,3,1,39.68500000000002,526.9859578,215.45754680000013,225.57954840000014,H3
"Integrity,Versatile,Reliability,Innovation,Communication,Enthusiasmfornewchallenges,Adaptability",9.962600000000036,96,0,1,1,0,48.95800000000003,511.2126774000002,203.50254680000012,213.46514680000013,body
CERTIFICATIONS,9.734892857142855,14,1,1,1,1,39.98400000000002,132.43023410000004,181.3519168000001,193.30711680000013,H3
•CSS3-InfosysSpringboard,9.796558333333342,24,0,1,2,1,39.685,173.65424440000007,164.2509484,174.2135484,H3
•OOPusingPython-InfosysSpringboard,9.845394117647068,34,0,1,2,1,39.685,235.0836360000001,151.8469484,161.8095484,H3
•HTML5-InfosysSpringboard,9.80320000000001,25,0,1,2,1,39.685,185.28059860000005,139.4429484,149.40554840000001,H3
•DataStructureandAlgorithm-InfosysSpringboard,9.874044444444449,45,0,1,2,1,39.685,282.6749762000001,127.03794840000002,137.0005484,H3
•SQL(Intermediate)-Hackerrank,9.825186206896554,29,0,1,2,1,39.685,194.93435800000006,114.63394840000002,124.59654840000002,H3
•Java-Hackerrank,9.713537499999997,16,0,1,2,1,39.685,126.05294160000003,102.22994840000003,112.19254840000002,H3
ACHIEVEMENTS,9.763358333333343,12,1,1,1,1,46.637,135.77456850000002,79.21791680000003,91.17311680000003,H3
◦Leetcode-400+problems,9.781463636363638,22,0,1,2,1,46.338,174.16102020000005,59.766948400000004,69.7295484,H3
"◦HackerRank-ProblemSolving4Star,Python4Star",9.869925581395353,43,0,1,2,1,46.337999999999994,291.8289388,49.3549484,59.31754839999999,H3
◦FlipkartGRiD6.0-SoftwareDevelopmentTrackLevel1(Participation),9.89832580645161,62,0,1,2,1,46.337999999999994,381.1735356,38.94294839999999,48.90554839999999,H3
5UnitUnitUnitUnitUnit5,31.818181818181817,22,0,1,2,1,383.63999999999993,438.11,635.74,747.3000000000001,title
Coordination,30.0,12,0,1,1,0,332.52,491.50809999999996,595.1700000000004,625.1700000000004,H3
Coordination,30.0,12,0,1,1,0,333.96,492.9481,593.61,623.61,H3
Compounds,30.0,9,0,1,1,0,340.79999999999995,483.2476,559.1700000000004,589.1700000000004,H3
Compounds,30.0,9,0,1,1,0,342.23999999999995,484.6876,557.61,587.61,H3
Coordination Compounds are the backbone of modern inorganic,9.0,59,0,1,1,0,271.79999999999995,551.3977000000001,517.6110000000003,526.6110000000003,body
and bio–inorganic chemistry and chemical industry.,9.0,50,0,1,1,0,271.79999999999995,500.5181000000001,506.8110000000004,515.8110000000004,body
In the previous Unit we learnt that the transition metals,10.5,57,0,1,1,0,272.28,552.3583999999998,474.2295,484.7295,body
form a large number of complex compounds in which,10.5,49,0,1,2,0,272.28,552.3599999999999,461.556,472.12949999999995,body
the metal atoms are bound to a number of anions or,10.5,50,0,1,1,0,272.2799999999999,552.3583999999998,449.0294999999999,459.5294999999999,body
neutral molecules by sharing of electrons. In modern,10.5,52,0,1,1,0,272.2799999999999,552.3586999999997,436.4294999999999,446.9294999999999,body
terminology such compounds are called coordination,10.5,50,0,1,2,0,272.2799999999999,552.3603999999999,423.7559999999999,434.3294999999999,body
compounds. The chemistry of coordination compounds,10.5,50,0,1,2,0,272.2799999999999,552.36,411.1559999999999,421.72949999999986,body
is an important and challenging area of modern,10.5,46,0,1,1,0,272.2799999999999,552.3598,398.62949999999984,409.12949999999984,body
inorganic chemistry. New concepts of chemical bonding,10.5,53,0,1,1,0,272.2799999999999,552.3620000000002,386.0294999999998,396.5294999999998,body
and molecular structure have provided insights into,10.5,51,0,1,1,0,272.2799999999999,552.36,373.4294999999998,383.9294999999998,body
the functioning of these compounds as vital components,10.5,54,0,1,1,0,272.2799999999999,552.3590999999999,360.82949999999977,371.32949999999977,body
"of biological systems. Chlorophyll, haemoglobin and",10.5,51,0,1,1,0,272.2799999999999,552.3595,348.22949999999975,358.72949999999975,body
"vitamin B12 are coordination compounds of magnesium,",10.246153846153847,52,0,1,1,0,272.2799999999999,552.3605999999999,334.7698999999997,346.1294999999997,body
iron and cobalt respectively. Variety of metallurgical,10.5,54,0,1,1,0,272.2799999999999,552.36,323.0294999999997,333.5294999999997,body
"processes, industrial catalysts and analytical reagents",10.5,55,0,1,1,0,272.28000000000003,552.3600000000001,310.4294999999997,320.9294999999997,body
involve,10.5,7,0,1,1,0,272.28000000000003,313.7746000000001,297.82949999999965,308.32949999999965,body
the use of coordination compounds.,10.5,34,0,1,1,0,322.3822,552.3588000000001,297.82949999999965,308.32949999999965,body
Coordination compounds also find many applications,10.5,50,0,1,1,0,272.28000000000003,552.3621000000002,285.22949999999963,295.72949999999963,body
"in electroplating, textile dyeing and medicinal chemistry.",10.5,58,0,1,1,0,272.28000000000003,552.3627000000005,272.6294999999996,283.1294999999996,body
Objectives,24.0,10,0,1,1,0,78.95999999999997,159.2421,590.8560000000003,614.8560000000003,H3
•,9.5,1,0,1,1,0,79.32,83.69,510.4705,519.9705,body
